part_id,sku,name,category,subcategory,unit_price_cents,weight_grams,warehouse_id,active,created_at,updated_at
P-00001,NR-ACT-00001,Modular Servo Motor BN-137,Actuators,Servo Motor,183295,400,W-03,true,2021-11-08T18:38:01Z,2022-02-05T20:57:42Z
P-00002,NR-CBL-00002,High-Torque Cable Chain CA-174,Cabling and Connectors,Cable Chain,9582,2240,W-08,true,2022-01-20T00:30:39Z,2022-06-27T16:49:14Z
P-00003,NR-CTL-00003,Heavy-Duty Motion Controller DN-211,Controllers,Motion Controller,501383,4944,W-01,true,2024-12-09T13:26:21Z,2025-03-14T04:10:06Z
P-00004,NR-DRV-00004,Rapid-Cycle Harmonic Reducer EA-248,Drivetrain,Harmonic Reducer,147486,11624,W-07,true,2024-07-31T13:37:33Z,2025-02-18T17:26:19Z
P-00005,NR-EFF-00005,Low-Backlash Parallel Gripper FN-285,End Effectors,Parallel Gripper,335651,2041,W-01,true,2023-09-16T07:08:58Z,2023-10-03T02:52:53Z
P-00006,NR-FRM-00006,Compact Aluminum Extrusion GA-322,Frames and Structure,Aluminum Extrusion,55348,55459,W-06,true,2024-02-27T03:15:53Z,2024-07-31T18:04:43Z
P-00007,NR-PWR-00007,Quiet-Drive Battery Pack HN-359,Power Systems,Battery Pack,77371,9649,W-07,false,2023-02-05T19:02:06Z,2023-11-18T02:44:16Z
P-00008,NR-SEN-00008,Sealed LIDAR Unit IA-396,Sensors,LIDAR Unit,118046,1010,W-02,true,2024-06-17T17:14:23Z,2025-05-13T16:42:00Z
P-00009,NR-ACT-00009,Industrial Linear Actuator JN-433,Actuators,Linear Actuator,285510,14736,W-05,true,2021-01-18T02:50:31Z,2021-09-10T06:43:36Z
P-00010,NR-CBL-00010,Precision M12 Connector KA-470,Cabling and Connectors,M12 Connector,12856,2312,W-06,true,2024-11-10T01:35:22Z,2025-08-12T14:10:39Z
P-00011,NR-CTL-00011,Modular PLC Module LN-507,Controllers,PLC Module,701545,4084,W-01,true,2021-09-03T22:23:36Z,2022-06-08T19:17:35Z
P-00012,NR-DRV-00012,High-Torque Planetary Gearbox MA-544,Drivetrain,Planetary Gearbox,7147,7520,W-08,true,2024-01-03T01:57:43Z,2024-11-01T11:43:37Z
P-00013,NR-EFF-00013,Heavy-Duty Vacuum Gripper NN-581,End Effectors,Vacuum Gripper,179391,5924,W-02,true,2024-01-23T06:03:32Z,2024-10-12T18:54:10Z
P-00014,NR-FRM-00014,Rapid-Cycle Base Plate OA-618,Frames and Structure,Base Plate,3668,37660,W-05,true,2024-03-30T16:04:17Z,2024-11-20T23:05:37Z
P-00015,NR-PWR-00015,Low-Backlash Power Supply Unit PN-655,Power Systems,Power Supply Unit,147913,8326,W-05,true,2023-01-03T20:12:03Z,2023-05-23T22:37:33Z
P-00016,NR-SEN-00016,Compact Force-Torque Sensor QA-692,Sensors,Force-Torque Sensor,8000,847,W-05,true,2022-05-19T10:27:06Z,2023-02-13T19:25:00Z
P-00017,NR-ACT-00017,Quiet-Drive Rotary Actuator RN-729,Actuators,Rotary Actuator,55986,6054,W-05,true,2024-08-16T14:01:29Z,2024-12-18T05:20:56Z
P-00018,NR-CBL-00018,Sealed Servo Cable SA-766,Cabling and Connectors,Servo Cable,8273,3471,W-06,true,2023-01-11T01:57:51Z,2023-09-19T11:24:44Z
P-00019,NR-CTL-00019,Industrial Edge Compute Node TN-803,Controllers,Edge Compute Node,500904,300,W-05,true,2024-09-30T04:56:30Z,2025-02-12T08:29:55Z
P-00020,NR-DRV-00020,Precision Timing Belt UA-840,Drivetrain,Timing Belt,166419,3917,W-03,true,2021-04-07T04:47:33Z,2021-10-18T18:08:59Z
P-00021,NR-EFF-00021,Modular Welding Torch VN-877,End Effectors,Welding Torch,433507,9855,W-01,true,2022-08-05T11:44:23Z,2022-08-28T08:54:13Z
P-00022,NR-FRM-00022,High-Torque Gantry Beam WA-914,Frames and Structure,Gantry Beam,56221,24199,W-02,true,2023-09-18T03:50:12Z,2024-02-20T07:09:22Z
P-00023,NR-PWR-00023,Heavy-Duty Motor Driver XN-951,Power Systems,Motor Driver,151313,13974,W-02,true,2024-02-27T21:30:11Z,2024-07-02T19:04:18Z
P-00024,NR-SEN-00024,Rapid-Cycle Proximity Sensor YA-988,Sensors,Proximity Sensor,72053,2191,W-04,true,2021-02-07T15:50:47Z,2021-04-23T09:15:30Z
P-00025,NR-ACT-00025,Low-Backlash Stepper Motor ZN-125,Actuators,Stepper Motor,289539,20625,W-04,true,2022-09-26T20:21:46Z,2022-11-21T17:53:23Z
P-00026,NR-CBL-00026,Compact EtherCAT Cable AA-162,Cabling and Connectors,EtherCAT Cable,4646,3276,W-06,true,2021-11-19T07:13:13Z,2022-11-22T06:14:27Z
P-00027,NR-CTL-00027,Quiet-Drive IO Expansion Board BN-199,Controllers,IO Expansion Board,257108,4639,W-04,true,2022-11-13T18:33:36Z,2023-10-11T19:57:23Z
P-00028,NR-DRV-00028,Sealed Ball Screw CA-236,Drivetrain,Ball Screw,54595,2173,W-06,true,2023-03-15T12:21:39Z,2023-11-02T03:42:53Z
P-00029,NR-EFF-00029,Industrial Tool Changer DN-273,End Effectors,Tool Changer,370982,8137,W-08,true,2022-05-30T01:35:03Z,2022-06-16T13:48:23Z
P-00030,NR-FRM-00030,Precision Mounting Bracket EA-310,Frames and Structure,Mounting Bracket,48530,60000,W-07,true,2022-07-10T23:40:22Z,2022-09-01T18:24:18Z
P-00031,NR-PWR-00031,Modular DC-DC Converter FN-347,Power Systems,DC-DC Converter,152477,7226,W-02,true,2023-06-13T18:49:18Z,2023-12-18T06:48:50Z
P-00032,NR-SEN-00032,High-Torque Rotary Encoder GA-384,Sensors,Rotary Encoder,256168,157,W-05,true,2021-03-29T23:59:52Z,2021-06-24T02:50:51Z
P-00033,NR-ACT-00033,Heavy-Duty Servo Motor HN-421,Actuators,Servo Motor,15000,4891,W-08,true,2021-02-20T03:17:20Z,2021-11-09T16:54:32Z
P-00034,NR-CBL-00034,Rapid-Cycle Cable Chain IA-458,Cabling and Connectors,Cable Chain,5485,2321,W-07,true,2023-04-30T20:53:40Z,2024-01-11T21:15:16Z
P-00035,NR-CTL-00035,Low-Backlash Motion Controller JN-495,Controllers,Motion Controller,749337,3178,W-02,true,2021-04-24T06:21:09Z,2021-05-21T17:32:57Z
P-00036,NR-DRV-00036,Compact Harmonic Reducer KA-532,Drivetrain,Harmonic Reducer,159335,8726,W-03,true,2023-08-10T09:08:38Z,2023-10-11T23:30:55Z
P-00037,NR-EFF-00037,Quiet-Drive Parallel Gripper LN-569,End Effectors,Parallel Gripper,361345,3878,W-02,true,2021-03-06T20:12:59Z,2021-05-26T16:03:29Z
P-00038,NR-FRM-00038,Sealed Aluminum Extrusion MA-606,Frames and Structure,Aluminum Extrusion,63633,34177,W-08,true,2022-04-17T08:15:21Z,2022-10-11T05:55:09Z
P-00039,NR-PWR-00039,Industrial Battery Pack NN-643,Power Systems,Battery Pack,147983,9301,W-01,true,2024-08-29T10:06:09Z,2025-06-20T02:24:52Z
P-00040,NR-SEN-00040,Precision Thermal Camera Module OA-680,Sensors,Thermal Camera Module,104455,468,W-08,true,2024-04-04T10:40:33Z,2025-01-22T10:42:42Z
P-00041,NR-ACT-00041,Modular Linear Actuator PN-717,Actuators,Linear Actuator,193758,5809,W-02,true,2021-06-29T13:15:14Z,2022-06-04T17:17:12Z
P-00042,NR-CBL-00042,High-Torque M12 Connector QA-754,Cabling and Connectors,M12 Connector,11398,2936,W-04,true,2022-06-18T00:39:03Z,2023-05-23T02:03:48Z
P-00043,NR-CTL-00043,Heavy-Duty PLC Module RN-791,Controllers,PLC Module,602939,3860,W-03,true,2021-12-19T19:52:00Z,2022-11-05T15:57:55Z
P-00044,NR-DRV-00044,Rapid-Cycle Planetary Gearbox SA-828,Drivetrain,Planetary Gearbox,175143,100,W-05,false,2021-01-24T03:27:30Z,2021-08-06T06:20:58Z
P-00045,NR-EFF-00045,Low-Backlash Vacuum Gripper TN-865,End Effectors,Vacuum Gripper,273751,4982,W-02,true,2022-03-15T23:56:30Z,2022-04-18T22:55:51Z
P-00046,NR-FRM-00046,Compact Base Plate UA-902,Frames and Structure,Base Plate,30615,48835,W-06,false,2021-07-21T12:10:19Z,2022-05-26T12:02:56Z
P-00047,NR-PWR-00047,Quiet-Drive Power Supply Unit VN-939,Power Systems,Power Supply Unit,96483,9403,W-07,true,2024-12-28T16:58:28Z,2025-06-06T14:30:03Z
P-00048,NR-SEN-00048,Sealed LIDAR Unit WA-976,Sensors,LIDAR Unit,35052,1807,W-06,true,2024-08-27T00:53:57Z,2025-02-14T03:21:06Z
P-00049,NR-ACT-00049,Industrial Rotary Actuator XN-113,Actuators,Rotary Actuator,145899,12792,W-01,true,2022-03-31T16:01:42Z,2022-10-07T08:21:15Z
P-00050,NR-CBL-00050,Precision Servo Cable YA-150,Cabling and Connectors,Servo Cable,4791,1872,W-08,true,2024-10-30T18:17:28Z,2025-09-14T20:47:21Z
P-00051,NR-CTL-00051,Modular Edge Compute Node ZN-187,Controllers,Edge Compute Node,378309,1734,W-06,true,2024-11-17T19:39:33Z,2025-03-04T07:58:31Z
P-00052,NR-DRV-00052,High-Torque Timing Belt AA-224,Drivetrain,Timing Belt,234696,3755,W-01,true,2021-11-24T10:03:41Z,2022-02-27T18:15:03Z
P-00053,NR-EFF-00053,Heavy-Duty Welding Torch BN-261,End Effectors,Welding Torch,98156,9994,W-02,true,2022-01-01T05:21:31Z,2022-12-09T04:43:27Z
P-00054,NR-FRM-00054,Rapid-Cycle Gantry Beam CA-298,Frames and Structure,Gantry Beam,28385,17021,W-04,true,2024-07-23T04:27:49Z,2024-08-18T09:43:28Z
P-00055,NR-PWR-00055,Low-Backlash Motor Driver DN-335,Power Systems,Motor Driver,117121,14979,W-02,true,2021-05-12T06:08:18Z,2021-06-27T15:24:02Z
P-00056,NR-SEN-00056,Compact Force-Torque Sensor EA-372,Sensors,Force-Torque Sensor,135796,2934,W-08,true,2022-08-18T07:55:16Z,2023-06-13T02:33:49Z
P-00057,NR-ACT-00057,Quiet-Drive Stepper Motor FN-409,Actuators,Stepper Motor,159708,12526,W-02,true,2022-11-01T16:00:44Z,2022-12-12T06:12:09Z
P-00058,NR-CBL-00058,Sealed EtherCAT Cable GA-446,Cabling and Connectors,EtherCAT Cable,7155,1792,W-04,true,2024-11-14T17:16:20Z,2025-08-02T20:50:07Z
P-00059,NR-CTL-00059,Industrial IO Expansion Board HN-483,Controllers,IO Expansion Board,884561,2434,W-05,true,2022-06-14T15:19:40Z,2023-05-17T19:05:27Z
P-00060,NR-DRV-00060,Precision Ball Screw IA-520,Drivetrain,Ball Screw,277883,2688,W-05,true,2023-05-10T12:18:05Z,2024-03-06T23:12:23Z
P-00061,NR-EFF-00061,Modular Tool Changer JN-557,End Effectors,Tool Changer,500000,4051,W-04,true,2024-12-28T02:16:57Z,2025-12-23T02:35:45Z
